Hugo_Symbol	OMIM	cell cycle checkpoint	HR	DSB	DNA replication	DSBR	MMR	DNA repair	MMR_4genes	cell cycle	response to DNA damage stimulus	BER	NER	OncoKB Oncogene	OncoKB TSG	mechanism
SMO	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
POLE	1	0	0	0	1	0	0	1	0	0	1	0	0	0.0	1.0	loss-of-function
REL	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
FH	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
AMER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PARK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
TSC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
TSC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
NCOA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
RBM10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
INHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RXRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
SH2B3	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
YAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
ALK	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
MAP2K2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
LMO1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
FOXO1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
PBRM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
PRKD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CDC42	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ERBB2	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
FLCN	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
EGFR	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
CTNNB1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
PLCG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
ERF	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
ERG	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
MITF	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RPTOR	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
MYOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CDK12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
KLF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
PGR	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CXCR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
FIP1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MDC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
SUFU	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
HGF	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
PHOX2B	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
HOXB13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
E2F3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
CALR	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MAP3K13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
MAP3K14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
BTK	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
CSF3R	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
SPRED1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
FAM58A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
VTCN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ARAF	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
INSRR	0	0	0	0	0	0	0	0	0	0	0	0	0			
IKBKE	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
ROS1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
RARA	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
NFE2L2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
HNF1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
CDH1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
GATA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CDKN2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
CDKN2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
BARD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
RFFL	0	0	0	0	0	0	0	0	0	0	0	0	0			
CENPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RYBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
ARID1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
ARID1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
CYLD	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
WHSC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
APC	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PAK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
PAK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
RECQL4	1	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	loss-of-function
FOXP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	unsure
FUBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
RRAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CYSLTR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MYCN	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
U2AF1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
CCNE1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
IGF2	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
IGF1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
TCF3	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ARID2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
TEK	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
SMYD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
EIF4E	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
EPAS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
IRF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
MEF2B	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
NSD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
CREBBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
PDGFRB	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
PDGFRA	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
ATM	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
ZFHX3	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
ATR	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
BRIP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
FLT4	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
FLT3	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
FLT1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
MRE11A	0	0	0	1	0	1	0	1	0	0	1	0	0	0.0	0.0	loss-of-function
SLX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
POLD1	1	0	0	0	1	0	0	1	0	0	0	0	0	0.0	1.0	
DNAJB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
CSF1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
RPS6KB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
FANCC	1	0	0	0	0	0	0	1	0	0	1	0	0	0.0	1.0	loss-of-function
RAF1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
DOT1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
FBXW7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
TGFBR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
TGFBR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
FANCA	1	0	0	0	0	0	0	1	0	0	1	0	0	0.0	1.0	loss-of-function
TET1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
TET2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
MTOR	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
EP300	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
KNSTRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
IRS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
IRS2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
KEAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
SHOC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CDK4	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
RAD52	0	0	0	0	0	1	0	1	0	0	1	0	0	0.0	0.0	loss-of-function
CDK6	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
RAD50	0	0	0	0	0	1	0	1	0	1	1	0	0	0.0	1.0	loss-of-function
CDK8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MSH2	1	0	0	0	0	0	1	1	1	1	1	0	0	0.0	1.0	loss-of-function
ERCC3	1	0	0	0	0	0	0	1	0	0	1	0	1	0.0	1.0	loss-of-function
ERCC4	1	0	0	0	0	0	0	1	0	0	1	0	1	0.0	1.0	loss-of-function
ERCC5	1	0	0	0	0	0	0	1	0	0	1	0	1	0.0	0.0	loss-of-function
MSH6	1	0	0	0	0	0	1	1	1	0	1	0	0	0.0	1.0	loss-of-function
EZH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
SOX9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
MCL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
SOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
BBC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
SMARCA4	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
CEBPA	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
XRCC2	0	0	0	0	0	0	0	1	0	0	1	0	0	0.0	1.0	loss-of-function
AXIN2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
AXIN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
RAD54L	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
FYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
MDM4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
MED12	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
AURKA	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
SUZ12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
PRKCI	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
GREM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RAC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
CDKN2Ap14ARF	0	0	0	0	0	0	0	0	0	0	0	0	0			
CARD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
HIST1H3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
HIST1H3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
HIST1H3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
HIST1H3F	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
HIST1H3G	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
HIST1H3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
HIST1H3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
HIST1H3J	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
PDCD1LG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
HIST1H3H	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	unsure
HIST1H3I	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
BAP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
NOTCH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
SRSF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
NOTCH1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	
NOTCH2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	loss-of-function
NOTCH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
FGFR4	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
FOXL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
PTCH1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
PMAIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
PPP4R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
AXL	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
GPS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
MAP3K1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
FAM46C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
INHBA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
H3F3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
CUL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
BRCA1	1	0	1	0	0	0	0	1	0	1	1	0	0	0.0	1.0	loss-of-function
ERBB3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
BRCA2	1	0	1	0	0	0	0	1	0	0	1	0	0	0.0	1.0	loss-of-function
NF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
ERBB4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
IDH2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
IDH1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
SETD8	0	0	0	0	0	0	0	0	0	0	0	0	0			
BRD4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
MDM2	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
SETD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
FGFR2	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
FGFR3	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
FGFR1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
SYK	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
PTPN11	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
TCF7L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
KIT	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
SPEN	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
RUNX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
HIST3H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	Unsure
PNRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
HRAS	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
RRAS2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
CARM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
TNFRSF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
IFNGR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
TSHR	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
RICTOR	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
TIMM8B	0	0	0	0	0	0	0	0	0	0	0	0	0			
DAXX	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
SDHAF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
PPM1D	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
MET	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
JUN	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
PPP6C	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
BABAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CHEK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
CHEK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
CTLA4	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
EPHB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
STK40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
PARP1	0	0	0	0	0	0	0	1	0	0	1	0	0	1.0	0.0	gain-of-function
PAX5	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	unsure
TP53	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
GNAQ	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
ESR1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
DDR2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
CD274	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
PALB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
CD276	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
SHQ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	loss-of-function
VEGFA	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
SH2D1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
ERCC2	1	0	0	0	0	0	0	0	0	0	0	0	1	0.0	1.0	loss-of-function
INPP4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
TBX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	loss-of-function
UPF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
NTRK2	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
CD79B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
CD79A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
STAT3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
CBFB	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
OBSL1	0	0	0	0	0	0	0	0	0	0	0	0	0			
ALOX12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	gain-of-function
TCEB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	
KDR	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	gain-of-function
SRC	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
MSH3	0	0	0	0	0	0	1	1	0	0	1	0	0	0.0	0.0	
SF3B1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	
ATRX	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	
